"","exptID","shellID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","polymorph","waxYN","cMass","pMass","cSize","finalSA","volume","densityMV","cTime1","cTime2","cDuration","rootMass","deviation","deviationStan","poros","massSA","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"23","T1.1","1.1.5.4","Alaona","E17",11,"9/4/2023 14:32","9/6/2023 14:32",24.82,17.77,"2dome",12,7.57,1.55,0.16,"Aragonite","No Wax",7.05,0.284045124899275,5.20239041970268,157.786491,57.24263249,0.433592917,NA,NA,NA,2.91698318560452,4.27253652676577,0.821264107857931,0.846786955111934,0.0446806311194283,495.49,1.42283396234031,10803.002698345,1.46057994620489,0.974156851898004
"24","T1.1","1.1.5.5","Alaona","E17",4,"9/4/2023 14:32","9/6/2023 14:32",277.18,252.02,"2dome",25.55,16.37,3.29,0.43,"Aragonite","No Wax",25.16,0.0907713399235154,11.122741070624,725.0008876,559.0211754,0.495830949,NA,NA,NA,6.52009559873378,9.169086309792,0.824354918591807,0.824794717610752,0.03470340578932,495.49,5.07780177198329,10803.002698345,6.71110530881445,0.756626746016641
"25","T1.1","1.1.6.1","Calcite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",503.4,495.26,"cube",11.02,8.06,2.51,2.51,"Calcite","No Wax",8.13999999999999,0.0161700437028208,6.06359406591295,273.424,222.941212,2.257994363,NA,NA,NA,7.95495517988486,3.50213531136235,0.57756757350396,0.167099091440092,0.02977061267482,495.49,1.64281822034753,10803.002698345,2.53100001578161,0.649078708061645
"26","T1.1","1.1.6.2","Calcite",NA,3,"9/4/2023 14:32","9/6/2023 14:32",801.79,790.24,"cube",8.09,8.05,5.03,5.03,"Calcite","No Wax",11.55,0.0144052682123748,6.89346321344984,292.6174,327.576235,2.447643981,NA,NA,NA,9.29009621304978,1.40551226218339,0.203890587163951,0.0971434964016107,0.0394713369744928,495.49,2.33102585319582,10803.002698345,2.70866728603917,0.860580354482897
"27","T1.1","1.1.6.3","Calcite",NA,10,"9/4/2023 14:32","9/6/2023 14:32",289.06,282.68,"cube",8.95,5.2,2.53,2.53,"Calcite","No Wax",6.38,0.0220715422403653,4.90134906627574,164.679,117.7462,2.454941221,NA,NA,NA,6.61194652929038,2.23955031124142,0.456925283418577,0.0944517812493414,0.0387420375396984,495.49,1.28761428081293,10803.002698345,1.5243817353228,0.84467968290126
"28","T1.1","1.1.6.4","Calcite",NA,4,"9/4/2023 14:32","9/6/2023 14:32",468.28,459.25,"cube",8.28,4.87,4.97,4.97,"Calcite","No Wax",9.02999999999997,0.0192833347569829,5.85201228165712,211.3582,200.408292,2.336629864,NA,NA,NA,7.76548413128863,1.43067076055237,0.244475009910138,0.138093004943321,0.0427236795165741,495.49,1.82243839431673,10803.002698345,1.95647641588,0.931490090820757
"29","T1.1","1.1.6.5","Calcite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",423.28,413.08,"cube",9.25,8.35,2.29,2.29,"Calcite","No Wax",10.2,0.0240975240975241,5.61333847424159,235.083,176.873875,2.393117695,NA,NA,NA,7.50831670018347,3.23222050858614,0.575810727148933,0.117256475565651,0.0433889307180868,495.49,2.05856828593917,10803.002698345,2.17608943146903,0.945994340200197
"30","T1.1","1.1.7.1","Aragonite",NA,10,"9/4/2023 14:32","9/6/2023 14:32",149.41,143.68,"cube",5.62,4.46,2.83,2.83,"Aragonite","No Wax",5.72999999999999,0.0383508466635432,4.13954431883163,107.1832,70.934516,2.106308867,NA,NA,NA,5.30631737499906,1.03681856038946,0.250466834156784,0.255721248545157,0.0534598705767321,495.49,1.15643100768936,10803.002698345,0.992161188818552,1.16556767259402
"31","T1.1","1.1.7.2","Aragonite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",444.24,434.33,"cube",7.4,6.63,4.09,4.09,"Aragonite","No Wax",9.91000000000003,0.0223077615703224,5.85449606878786,212.8894,200.66358,2.213854652,NA,NA,NA,7.63025795188282,1.36183464373738,0.23261346967124,0.217719204363503,0.0465499926252788,495.49,2.00004036408404,10803.002698345,1.97065025293953,1.01491391539451
"32","T1.1","1.1.7.3","Aragonite",NA,5,"9/4/2023 14:32","9/6/2023 14:32",647.36,638.35,"cube",7.89,5.85,5.44,5.44,"Aragonite","No Wax",9.00999999999999,0.0139180672268907,6.3087587922006,241.8042,251.09136,2.578185088,NA,NA,NA,8.65064759538384,0.969586264066866,0.153688910291759,0.0889805343848795,0.037261552942422,495.49,1.81840198591293,10803.002698345,2.23830546702579,0.812401172539324
"33","T1.1","1.1.7.4","Aragonite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",573.6,563.21,"cube",7.91,5.64,5.22,5.22,"Aragonite","No Wax",10.39,0.0181136680613668,6.15236411191991,230.6868,232.876728,2.463105717,NA,NA,NA,8.30876318368257,1.0674547039733,0.173503174479736,0.129644623109394,0.0450394214146626,495.49,2.09691416577529,10803.002698345,2.13539519003676,0.981979436667738
"34","T1.1","1.1.7.5","Aragonite",NA,11,"9/4/2023 14:32","9/6/2023 14:32",349.5,338.77,"cube",9.63,4.95,3.46,3.46,"Aragonite","No Wax",10.73,0.0307010014306152,5.48406417480168,196.2306,164.93301,2.119042149,NA,NA,NA,7.0439412762294,2.23468805826723,0.407487583485115,0.251221855372992,0.0546805646010358,495.49,2.16553310863994,10803.002698345,1.81644497811763,1.19218205600924
"35","T1.1","1.1.8.1","Liloa","E18",4,"9/4/2023 14:32","9/6/2023 14:32",26.72,19.11,"cylinder2",10.02,4.59,4.59,0.11,"Aragonite","No Wax",7.61,0.284805389221557,5.95430436836214,177.5811951,165.7994074,0.161158598,NA,NA,NA,2.98959357346412,2.26476812278738,0.380358138025509,0.943053499037571,0.0428536365898125,495.49,1.53585339764677,10803.002698345,1.64381329949316,0.93432350141
