"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","density","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","calcZ","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSA","calcC","calcSAPerim","finalSA","volume","densityMV"
"150","1.3.8.5","T1.3","Liloa","E19",7,"8/28/2023 16:32","8/30/2023 16:32",72.12,64.73,2.589,"cylinder2",11.37,5.57,5.57,0.18,11.564,5.593,56.184,53.49,NA,NA,"Aragonite","",0,7.39,0.102468108707709,NA,NA,NA,7.06572859739656,247.693689144409,NA,147.007166698497,NA,NA,247.693689144409,277.051647082933,0.26031247516248
"151","1.3.9.1","T1.3","Ethalia","E19",5,"8/28/2023 16:32","8/30/2023 16:32",58.55,53.45,1.505,"sphere",7.03,6.02,5.38,0.25,7.048,6.002,34.511,34.552,NA,NA,"Aragonite","",0,5.09999999999999,0.0871050384286933,NA,NA,NA,6.10629850191274,118.565417169146,NA,118.565417169146,NA,NA,118.565417169146,119.215497163109,0.491127423810451
"152","1.3.9.2","T1.3","Ethalia","E19",10,"8/28/2023 16:32","8/30/2023 16:32",554.35,535.2,1.921,"sphere",13.68,11.68,9.24,0.42,13.745,11.772,136.263,129.057,NA,NA,"Aragonite","",0,19.15,0.0345449625687742,NA,NA,NA,11.3867635846594,417.887673463506,NA,421.688668612726,NA,NA,417.887673463506,773.035669579936,0.717107918579269
"153","1.3.9.3","T1.3","Ethalia","E19",7,"8/28/2023 16:32","8/30/2023 16:32",233.64,226.17,1.595,"sphere",10.27,8.95,6.6,0.35,10.356,8.737,75.896,74.957,NA,NA,"Aragonite","",0,7.47,0.0319722650231125,NA,NA,NA,8.46536727188021,232.712568243453,NA,230.4289267412,NA,NA,232.712568243453,317.640621258055,0.735548240255418
"154","1.3.9.4","T1.3","Ethalia","E19",1,"8/28/2023 16:32","8/30/2023 16:32",41.21,37.01,1.188,"sphere",6.76,5.44,4.28,0.21,6.826,5.248,29.12,30.133,NA,NA,"Aragonite","",0,4.2,0.101917010434361,NA,NA,NA,5.3992046382302,94.8029339361681,NA,93.3588191915366,NA,NA,94.8029339361681,82.4115318811897,0.500051377025866
"155","1.3.9.5","T1.3","Ethalia","E20",9,"8/28/2023 16:32","8/30/2023 16:32",574.1,557.22,1.435,"sphere",13.63,11.56,9.3,0.47,13.65,11.931,136.953,133.873,NA,NA,"Aragonite","",0,16.88,0.0294025431109563,NA,NA,NA,11.3582706444734,415.23480790706,NA,424.702891326296,NA,NA,415.23480790706,767.247109186509,0.748259580422144
"156","1.3.10.1","T1.3","Notocochlis","E20",11,"8/28/2023 16:32","8/30/2023 16:32",753.38,734.69,2.192,"sphere",12.28,11.53,8.39,0.38,12.199,11.169,107.791,119.038,NA,NA,"Aragonite","",0,18.6899999999999,0.0248081977222649,NA,NA,NA,10.590827106494,361.92543632756,NA,352.057541609924,NA,NA,361.92543632756,621.996953054157,1.21122779830467
"157","1.3.10.2","T1.3","Notocochlis","E20",9,"8/28/2023 16:32","8/30/2023 16:32",125.71,120.97,2.66,"sphere",6.96,5.82,4.81,0.36,6.708,5.485,30.995,32.81,NA,NA,"Aragonite","",0,4.73999999999999,0.0377058308805982,NA,NA,NA,5.79729989262382,108.003801546797,NA,100.915638623606,NA,NA,108.003801546797,102.017792753223,1.23223603067053
"158","1.3.10.3","T1.3","Notocochlis","E20",2,"8/28/2023 16:32","8/30/2023 16:32",54.53,51.34,2.538,"sphere",5.96,4.7,5.23,0.29,5.88,4.834,21.953,24.331,NA,NA,"Aragonite","",0,3.19,0.0584999083073537,NA,NA,NA,5.2716746859349,88.1363696054955,NA,88.7364263687018,NA,NA,88.1363696054955,76.7086657577714,0.710871444071174
"159","1.3.10.4","T1.3","Notocochlis","E20",6,"8/28/2023 16:32","8/30/2023 16:32",180.98,174.59,1.746,"sphere",9.75,7.32,9.92,0.28,9.386,7.68,61.09,64.455,NA,NA,"Aragonite","",0,6.38999999999999,0.0353077688142335,NA,NA,NA,8.91269660317976,254.280544288143,NA,254.205179574778,NA,NA,254.280544288143,370.70290657535,0.488207663845802
"160","1.3.10.5","T1.3","Notocochlis","E20",11,"8/28/2023 16:32","8/30/2023 16:32",75.51,72.31,2.291,"sphere",6.98,5.07,6.75,0.24,6.446,5.221,27.722,32.084,NA,NA,"Aragonite","",0,3.2,0.0423784929148458,NA,NA,NA,6.20472281496711,123.373834164975,NA,118.39821078708,NA,NA,123.373834164975,125.073636503431,0.603724350798168
"161","1.3.11.1","T1.3","Fustiaria","E19",4,"8/28/2023 16:32","8/30/2023 16:32",118.89,108.51,2.566,"2cone",2.95,2.95,30.01,0.16,2.973,0.818,54.356,61.851,29.908,NA,"Aragonite","",0,10.38,0.0873075952561191,NA,NA,NA,6.39199866783023,292.129217842017,NA,294.519538301273,NA,NA,292.129217842017,68.3720582613862,1.73886823101747
"162","1.3.11.2","T1.3","Fustiaria","E21",1,"8/28/2023 16:32","8/30/2023 16:32",72.27,60.05,3.025,"2cone",2.81,2.81,19.17,0.18,2.91,1.828,47.639,47.909,19.043,NA,"Aragonite","",0,12.22,0.169088141690881,NA,NA,NA,5.32939918157223,182.087450617324,NA,189.058536127748,NA,NA,182.087450617324,39.6281117788366,1.82370536358979
"163","1.3.11.3","T1.3","Fustiaria","E21",9,"8/28/2023 16:32","8/30/2023 16:32",107.13,97.65,2.706,"2cone",2.75,2.75,29.46,0.36,2.669,0.818,35.376,53.974,29.475,NA,"Aragonite","",0,9.47999999999999,0.0884906188742648,NA,NA,NA,6.06223419672838,266.672345665949,NA,258.462444178922,NA,NA,266.672345665949,58.3266128570073,1.83672589153494
"164","1.3.11.4","T1.3","Fustiaria","E21",5,"8/28/2023 16:32","8/30/2023 16:32",72.28,65.32,2.791,"2cone",2.69,2.69,21.94,0.28,2.553,1.031,43.48,43.311,22.31,NA,"Aragonite","",0,6.96000000000001,0.0962921970116216,NA,NA,NA,5.41477474197724,197.126914334133,NA,186.505197614491,NA,NA,197.126914334133,41.5632797081721,1.73903504505657
"165","1.3.11.5","T1.3","Fustiaria","E21",1,"8/28/2023 16:32","8/30/2023 16:32",120.3,112.64,3.039,"2cone",3.65,3.65,14.61,0.37,3.732,2.91,47.638,47.27,14.217,NA,"Aragonite","",0,7.66,0.0636741479634247,NA,NA,NA,5.79533637199183,189.759053616613,NA,194.563077367225,NA,NA,189.759053616613,50.9570844451704,2.3608101073648
