"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros"
"72","1.2.6.6",1.2,"Anadara",NA,NA,NA,NA,712.14,692.17,NA,11.71,9.18,3.11,13.891,14.422,"Mixed",NA,"calcx is x",0,19.97,0.0280422388856124,NA,NA,NA,6.94043442261172,382.6075,14.1565,0.0521944812895723,334.318158,2.13012659635436,8.93007541902415,3.6131885257961,0.520599764479359,0.261961542389868
"73","1.3.1.1",1.3,"Aragonite",NA,NA,NA,NA,1083.86,1065.79,NA,8.46,3.79,12.53,NA,NA,"Aragonite",NA,"",0,18.0699999999999,0.0166718948941745,NA,NA,NA,7.37881940706786,371.1118,NA,0.0486915263809988,401.754402,2.69781735957183,10.2720643081412,3.27372686431071,0.443665400074021,0.0792432219891361
"74","1.3.1.2",1.3,"Aragonite",NA,NA,NA,NA,896.67,885.1,NA,7.13,5,9.62,NA,NA,"Aragonite",NA,"",0,11.5699999999999,0.0129032977572573,NA,NA,NA,6.99968025750403,304.6812,NA,0.0379741185212607,342.953,2.61455651357475,9.64297142721696,1.58343991416532,0.226216035006427,0.107659892977902
"75","1.3.1.3",1.3,"Aragonite",NA,NA,NA,NA,1412.46,1389.92,NA,8.63,4.91,11.25,NA,NA,"Aragonite",NA,"",0,22.54,0.015957974031123,NA,NA,NA,7.81174881310758,389.3966,NA,0.0578844293966613,476.699625,2.9629979255805,11.2199792196513,2.38608372896414,0.30544808672809,-0.0112620906418071
"76","1.3.1.4",1.3,"Aragonite",NA,NA,NA,NA,1332.56,1307.55,NA,9.39,6.84,7.97,NA,NA,"Aragonite",NA,"",0,25.01,0.0187683856636849,NA,NA,NA,7.99944773270932,387.1614,NA,0.0645983819667973,511.893972,2.60319533514647,11.0042958427823,0.859815910903105,0.107484408878298,0.111537428277654
"77","1.3.1.5",1.3,"Aragonite",NA,NA,NA,NA,827.3,806.25,NA,9.87,7,4.66,NA,NA,"Aragonite",NA,"",0,21.05,0.0254442161247431,NA,NA,NA,6.85383591784607,295.4084,NA,0.0712572831375139,321.9594,2.56957864873646,9.38759492351724,1.78538802738464,0.260494714023695,0.123010700089947
"78","1.3.1.6",1.3,"Aragonite",NA,NA,NA,NA,430.1,413.24,NA,6.48,2.83,9.66,NA,NA,"Aragonite",NA,"",0,16.86,0.0392001860032551,NA,NA,NA,5.61624686620275,216.546,NA,0.0778587459477433,177.148944,2.42790044517567,7.5484273729919,2.56458437793242,0.456636689773286,0.171365035776221
"79","1.3.2.1",1.3,"Calcite",NA,NA,NA,NA,467.4,457.15,NA,8.53,7.76,3.11,NA,NA,"Calcite",0.01,"",0,10.25,0.0219298245614035,NA,NA,NA,5.90459861721622,233.7094,NA,0.0438578850486972,205.859608,2.27047940361375,7.76061673633012,2.42513379426126,0.410719500422979,0.162493764804962
"80","1.3.2.2",1.3,"Calcite",NA,NA,NA,NA,294.57,288.16,NA,6.43,4.92,3.99,NA,NA,"Calcite",0.01,"",0,6.40999999999997,0.0217605323013205,NA,NA,NA,5.01629409613896,153.8442,NA,0.04166552915222,126.226044,2.33367053791213,6.65369421815434,0.845431365379654,0.168537041325065,0.139184604237503
"81","1.3.2.3",1.3,"Calcite",NA,NA,NA,NA,344.07,337.91,NA,5.38,4.97,5.02,NA,NA,"Calcite",0.01,"",0,6.15999999999997,0.0179033336239718,NA,NA,NA,5.12012771287877,157.3912,NA,0.0391381474949042,134.227772,2.56332944273261,7.00727135571871,0.170042570959589,0.0332106112376606,0.0544708805855361
"82","1.3.2.4",1.3,"Calcite",NA,NA,NA,NA,313.42,303.63,NA,8.66,5.79,2.78,NA,NA,"Calcite",0.01,"remeasured",0,9.79000000000002,0.0312360410950163,NA,NA,NA,5.18497998043792,180.6248,NA,0.0542007520561962,139.393092,2.24846149477766,6.79269688831121,2.16167333985403,0.416910643437326,0.170615457477808
"84","1.3.2.6",1.3,"Calcite",NA,NA,NA,NA,260.22,254.05,NA,6.35,4.25,3.86,NA,NA,"Calcite",0.01,"",0,6.17000000000002,0.023710706325417,NA,NA,NA,4.70525668075718,135.807,NA,0.0454321205828861,104.17175,2.49799009808321,6.38430398487176,0.98175222691906,0.208650089363685,0.0785724462990726
"85","1.3.3.1",1.3,"Centrostephanus",NA,NA,NA,NA,227.94,205.38,NA,61.44,2.58,2.49,NA,NA,"Calcite",0.08,"",0,22.56,0.0989734140563306,NA,NA,NA,7.33539356622945,480.717101843408,NA,0.0469298885217294,103.332963968981,2.20587885264207,6.10857881001681,21.2351311887431,2.89488641570713,0.186322813485034
"91","1.3.4.1",1.3,"Pecten",NA,NA,NA,NA,1000.42,976.4,NA,20.1,20.69,1.06,23.546,24.658,"Calcite",0.01,"",0,24.02,0.0240099158353491,NA,NA,NA,7.61063343031695,1092.2998,24.102,0.021990299732729,528.5906028,1.89261783070049,10.0013998040457,12.0404555232277,1.58205695143121,0.301874647473077
"92","1.3.4.2",1.3,"Pecten",NA,NA,NA,NA,1421.55,1396.4,NA,19.69,18.93,1.67,22.137,24.551,"Calcite",0.01,"",0,25.1499999999999,0.0176919559635608,NA,NA,NA,8.53829063645621,1024.999,23.344,0.0245366093040089,737.9762064,1.92628161676731,11.2439967971525,10.6885697878479,1.25183953591491,0.289457168289446
"93","1.3.4.3",1.3,"Pecten",NA,NA,NA,NA,942.68,912.48,NA,21.34,16.8,1.3,24.911,24.356,"Calcite",0.01,"",0,30.1999999999999,0.0320363219756438,NA,NA,NA,7.75322432606591,935.4127,24.6335,0.0322852148575703,537.99564,1.75220750859617,9.80516179551908,10.7934252246447,1.39212084814285,0.353667462708902
"95","1.3.4.5",1.3,"Pecten",NA,NA,NA,NA,657.97,625.08,NA,19.3,13.36,1.14,21.565,22.225,"Calcite",0.01,"",0,32.89,0.0499870814778789,NA,NA,NA,6.64899805885751,665.4158,21.895,0.0494277412709467,333.469608,1.97310334799686,8.69765207262003,9.15533398038083,1.3769494139323,0.272186149761395
"96","1.3.4.6",1.3,"Pecten",NA,NA,NA,NA,614,591.55,NA,18.95,11.55,1.24,21.7,21.343,"Calcite",0.01,"",0,22.45,0.0365635179153095,NA,NA,NA,6.47447106883241,579.16397,21.5215,0.0387627704119786,308.230923,1.99201298177341,8.49942325959926,8.45234297705586,1.30548779772061,0.265210998976979
"97","1.3.5.1",1.3,"Saccostrea",NA,NA,NA,NA,757.57,728.25,NA,17.8,7.22,2.99,NA,NA,"Calcite",0,"",0,29.3200000000001,0.0387026941404755,NA,NA,NA,7.27014036801683,406.6516,NA,0.072101031939872,384.26284,1.97148909845147,9.11606869905676,4.95338012267228,0.681332116290827,0.272781594079134
"99","1.3.5.3",1.3,"Saccostrea",NA,NA,NA,NA,725.09,702.71,NA,12.81,9.75,2.75,NA,NA,"Calcite",0,"",0,22.38,0.0308651339833676,NA,NA,NA,7.00318307616529,373.875,NA,0.0598595787362086,343.468125,2.11108381600185,8.98388061173692,4.26893897461157,0.609571237562034,0.221289628918536
"100","1.3.5.4",1.3,"Saccostrea",NA,NA,NA,NA,1084.29,1036.24,NA,16.5,12.11,3.99,NA,NA,"Calcite",0,"",0,48.05,0.0443147128535723,NA,NA,NA,9.27257442208986,627.9378,NA,0.0765203177766969,797.26185,1.36001741460475,10.273422541266,5.11580852597005,0.551713935429061,0.498333672222519
"103","1.3.6.1",1.3,"Anadara",NA,NA,NA,NA,1139.42,1121.74,NA,13.68,10.67,2.94,17.354,17.349,"Mixed",NA,"calcx is x",0,17.6800000000001,0.0155166663741202,NA,NA,NA,7.54280040541738,495.872525,17.3515,0.0356543246674134,429.138864,2.65513123043547,10.4446673493329,4.62239986486088,0.612822773560465,0.0800598605656327
"104","1.3.6.2",1.3,"Anadara",NA,NA,NA,NA,625.89,613.6,NA,7.95,12.4,3.37,9.116,9.98,"Mixed",NA,"calcx is y, swapped",0,12.29,0.0196360382814871,NA,NA,NA,6.92584718573113,364.90472,9.548,0.0336800247472819,332.2146,1.88399305749958,8.55393615145935,3.35138427142296,0.483895208997333,0.347240989016846
"105","1.3.6.3",1.3,"Anadara",NA,NA,NA,NA,809.78,794.03,NA,13.7,10.08,2.77,16.741,15.489,"Mixed",NA,"calcx is x",0,15.75,0.0194497270863691,NA,NA,NA,7.25916981605233,445.6555,16.115,0.0353411996486075,382.52592,2.11692844239156,9.32085350175101,4.58361006131589,0.6314234516432,0.266534390412458
"106","1.3.6.4",1.3,"Anadara",NA,NA,NA,NA,1605.21,1569.12,NA,15.13,12.76,3.17,18.943,17.661,"Mixed",NA,"calcx is x",0,36.0900000000001,0.0224830396022951,NA,NA,NA,8.49016808282462,623.5254,18.302,0.0578805610805913,611.996396,2.62290760287418,11.7087523085873,5.40994397239179,0.637201044739734,0.0912245849649421
"107","1.3.6.5",1.3,"Anadara",NA,NA,NA,NA,1318.74,1280.96,NA,16.52,15.72,2.56,17.145,19.884,"Mixed",NA,"calcx is x",0,37.78,0.0286485584724813,NA,NA,NA,8.72772090627682,726.02298,18.5145,0.0520369203740631,664.817664,1.98361155458108,10.9661216622735,6.98409303124106,0.800219565478798,0.312725537183467
