"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSAPerim","finalSA","volume","densityMV"
"45","4.1.9.5","T4.1","Ethalia","124.7",5,"11/6/2023 12:30","11/13/2023 12:30",133.36,125.07,"sphere",8.85,7.58,6.26,0.31,NA,NA,NA,NA,NA,"Aragonite","",0,8.29000000000002,0.0621625674865028,NA,NA,NA,7.48851326073537,179.711701062536,NA,NA,179.711701062536,219.879849913264,0.606513057256527
"46","4.1.10.1","T4.1","Natica","E22",10,"11/6/2023 12:30","11/13/2023 12:30",46.87,43.48,"sphere",5.53,4.43,4.55,0.14,NA,NA,NA,NA,NA,"Aragonite","",0,3.39,0.072327714956262,NA,NA,NA,4.81260352394383,73.4923590495623,NA,NA,73.4923590495623,58.3631705235195,0.803074945716187
"47","4.1.10.2","T4.1","Natica","E24",6,"11/6/2023 12:30","11/13/2023 12:30",80.51,76.08,"sphere",7.19,3.58,5.44,0.14,NA,NA,NA,NA,NA,"Aragonite","",0,4.43000000000001,0.0550242205937151,NA,NA,NA,5.19282402679855,91.7219740207926,NA,NA,91.7219740207926,73.317802387885,1.09809619734734
"48","4.1.10.3","T4.1","Natica","E24",9,"11/6/2023 12:30","11/13/2023 12:30",99.13,94.35,"sphere",6.79,5.22,5.34,0.29,NA,NA,NA,NA,NA,"Aragonite","",0,4.78,0.0482195097346918,NA,NA,NA,5.74152391480385,105.076674951693,NA,NA,105.076674951693,99.1014837088222,1.00028774837783
"49","4.1.10.4","T4.1","Natica","E24",5,"11/6/2023 12:30","11/13/2023 12:30",115.61,110.18,"sphere",7.52,5.2,5.34,0.33,NA,NA,NA,NA,NA,"Aragonite","",0,5.42999999999999,0.0469682553412334,NA,NA,NA,5.9327240323137,113.852574403156,NA,NA,113.852574403156,109.335466822118,1.05738790312288
"50","4.1.10.5","T4.1","Natica","E24",4,"11/6/2023 12:30","11/13/2023 12:30",63.23,58.73,"sphere",6.24,4.34,4.58,0.22,NA,NA,NA,NA,NA,"Aragonite","",0,4.5,0.0711687490115452,NA,NA,NA,4.98708303245885,80.2242685074296,NA,NA,80.2242685074296,64.9439081136924,0.973609409050468
"51","4.1.11.1","T4.1","Scaphopod","E22",1,"11/6/2023 12:30","11/13/2023 12:30",104.08,88.32,"2cone",2.54,1.71,20.42,0.28,NA,NA,NA,NA,NA,"Aragonite","",0,15.76,0.151421983089931,NA,NA,NA,4.4595926216688,173.393344549148,NA,NA,173.393344549148,34.4898890772363,3.01769599104608
"52","4.1.11.2","T4.1","Scaphopod","E22",9,"11/6/2023 12:30","11/13/2023 12:30",79.25,70.81,"2cone",2.8,1.06,26.44,0.15,NA,NA,NA,NA,NA,"Aragonite","",0,8.44,0.106498422712934,NA,NA,NA,4.28129462684581,245.219243555678,NA,NA,245.219243555678,54.2682903771306,1.4603371406997
"53","4.1.11.3","T4.1","Scaphopod","E22",11,"11/6/2023 12:30","11/13/2023 12:30",76.29,70.7,"2cone",2.58,1.72,20.31,0.16,NA,NA,NA,NA,NA,"Aragonite","",0,5.59,0.0732730370952943,NA,NA,NA,4.48352255373749,175.406395456358,NA,NA,175.406395456358,35.3930477468585,2.1555080688628
"54","4.1.11.4","T4.1","Scaphopod","E22",6,"11/6/2023 12:30","11/13/2023 12:30",68.39,59.67,"2cone",3.06,2.27,15.37,0.25,NA,NA,NA,NA,NA,"Aragonite","",0,8.72,0.12750402105571,NA,NA,NA,4.74395306613522,163.194583987103,NA,NA,163.194583987103,37.6777835705523,1.81512800167607
"55","4.1.11.5","T4.1","Scaphopod","E22",8,"11/6/2023 12:30","11/13/2023 12:30",58.86,50.03,"2cone",2.5,1.02,24.25,0.17,NA,NA,NA,NA,NA,"Aragonite","",0,8.83,0.150016989466531,NA,NA,NA,3.95443074890387,200.529391572478,NA,NA,200.529391572478,39.6789697133086,1.48340545193788
"56","4.2.1.1","T4.2","Marginopora","E22",7,"11/17/2023 11:30","11/24/2023 11:30",51.95,46.09,"cylinder1",9.45,9.19,0.66,0.66,NA,NA,NA,NA,NA,"Calcite","",0,5.86,0.112800769971126,NA,NA,NA,3.85564539755208,155.741157129428,NA,NA,155.741157129428,45.0174754915598,1.15399629661019
"57","4.2.1.2","T4.2","Marginopora","E22",8,"11/17/2023 11:30","11/24/2023 11:30",44.08,38.78,"cylinder1",8.33,8.07,0.71,0.71,NA,NA,NA,NA,NA,"Calcite","",0,5.3,0.120235934664247,NA,NA,NA,3.62737365901748,123.884150984966,NA,NA,123.884150984966,37.4857984872969,1.17591199277608
"58","4.2.1.3","T4.2","Marginopora","E22",3,"11/17/2023 11:30","11/24/2023 11:30",71.53,68.28,"cylinder1",7.35,7.41,1.23,1.23,NA,NA,NA,NA,NA,"Calcite","",0,3.25,0.0454354816161051,NA,NA,NA,4.06134814523635,114.06855889809,NA,NA,114.06855889809,52.6139054328022,1.35952652462489
"59","4.2.1.4","T4.2","Marginopora","E22",9,"11/17/2023 11:30","11/24/2023 11:30",91.32,86.25,"cylinder1",11.02,11.34,0.77,0.77,NA,NA,NA,NA,NA,"Calcite","",0,5.06999999999999,0.0555190538764782,NA,NA,NA,4.58242245817986,223.342104929006,NA,NA,223.342104929006,75.5744953083553,1.20834415932783
"60","4.2.1.5","T4.2","Marginopora","E22",7,"11/17/2023 11:30","11/24/2023 11:30",56,52.33,"cylinder1",7.91,7.63,1.02,1.02,NA,NA,NA,NA,NA,"Calcite","",0,3.67,0.0655357142857143,NA,NA,NA,3.94851444430489,119.701120366711,NA,NA,119.701120366711,48.3493983944747,1.15823571460197
"61","4.2.2.1","T4.2","Turbo","E08",4,"11/17/2023 11:30","11/24/2023 11:30",403.81,398.35,"hemisphere",9.6,8.59,4,4,NA,NA,NA,NA,NA,"Aragonite","",0,5.45999999999998,0.0135212104702706,NA,NA,NA,6.90941793130191,179.799630750251,NA,NA,179.799630750251,163.044469931105,2.47668626952285
"62","4.2.2.2","T4.2","Turbo","E08",11,"11/17/2023 11:30","11/24/2023 11:30",248.7,244.06,"hemisphere",8.17,7.26,3.45,3.45,NA,NA,NA,NA,NA,"Aragonite","",0,4.63999999999999,0.0186570164857257,NA,NA,NA,5.89285729523809,130.56333404613,NA,NA,130.56333404613,101.860443728974,2.44157585511537
"63","4.2.2.3","T4.2","Turbo","E08",7,"11/17/2023 11:30","11/24/2023 11:30",241.34,238.85,"hemisphere",7.84,7.41,3.26,3.26,NA,NA,NA,NA,NA,"Aragonite","",0,2.49000000000001,0.010317394547112,NA,NA,NA,5.74271535220117,124.642060212644,NA,NA,124.642060212644,92.5129837668011,2.60871490869162
"64","4.2.2.4","T4.2","Turbo","E08",8,"11/17/2023 11:30","11/24/2023 11:30",559.36,554.57,"hemisphere",10.62,9.66,4.44,4.44,NA,NA,NA,NA,NA,"Aragonite","",0,4.78999999999996,0.00856335812356973,NA,NA,NA,7.69416574975992,223.078839464635,NA,NA,223.078839464635,224.702634459496,2.48933441009936
"65","4.2.2.5","T4.2","Turbo","E08",4,"11/17/2023 11:30","11/24/2023 11:30",81.91,79.29,"hemisphere",5.9,5.27,2.07,2.07,NA,NA,NA,NA,NA,"Aragonite","",0,2.61999999999999,0.0319863264558661,NA,NA,NA,4.0075380770915,62.3021805504006,NA,NA,62.3021805504006,29.9192851474965,2.73769909929996
"66","4.2.3.1","T4.2","Halimeda","E22",3,"11/17/2023 11:30","11/24/2023 11:30",120.98,110.48,"rhombus",13.19,10.82,1.23,1,13.155,10.715,95.82,98.732,54.148,"Aragonite","broke in half",0,10.5,0.0867912051578773,NA,NA,NA,5.59919667473373,184.683753281045,8.53007180509051,261.15404,261.15404,119.64948,1.01112014862079
"67","4.2.3.2","T4.2","Halimeda","E22",3,"11/17/2023 11:30","11/24/2023 11:30",40.11,34.26,"rhombus",9.84,9.05,0.83,0.94,10.25,8.857,67.658,66.433,43.278,"Aragonite","",0,5.85,0.145848915482423,NA,NA,NA,4.19669354279368,111.244412044661,6.68446145923514,170.01174,170.01174,55.647765,0.720783664896515
"68","4.2.3.3","T4.2","Halimeda","E22",4,"11/17/2023 11:30","11/24/2023 11:30",95.07,87.63,"rhombus",12.36,8.53,1,1.41,12.144,8.576,87.906,86.874,49.247,"Aragonite","",0,7.44,0.0782581255916693,NA,NA,NA,4.72413718463363,135.466145844521,7.50883646113031,224.027,224.027,87.39,1.0878819086852
"69","4.2.3.4","T4.2","Halimeda","E22",6,"11/17/2023 11:30","11/24/2023 11:30",46.19,41.55,"rhombus",11.22,8.74,0.94,0.94,11.318,8.148,66.056,65.759,41.99,"Aragonite","",0,4.64,0.100454643862308,NA,NA,NA,4.51728385121557,124.800868262311,7.11118836763589,171.2856,171.2856,61.95305,0.745564584794453
"70","4.2.3.5","T4.2","Halimeda","E22",5,"11/17/2023 11:30","11/24/2023 11:30",77.81,72.03,"rhombus",11.46,8.68,1.41,1.41,11.287,9,64.607,64.393,50.925,"Aragonite","",0,5.78,0.074283511116823,NA,NA,NA,5.19566512499572,140.013573520001,7.18808041134766,200.80425,200.80425,90.945,0.855572049040629
"71","4.2.4.1","T4.2","Pinguitellina","E22",9,"11/17/2023 11:30","11/24/2023 11:30",91.96,79.57,"2dome",11.14,9.21,2.74,0.38,NA,NA,NA,NA,NA,"Aragonite","",0,12.39,0.134732492387995,NA,NA,NA,6.55086215949452,208.334402663542,NA,NA,208.334402663542,121.16734930563,0.758950332139742
"72","4.2.4.2","T4.2","Pinguitellina","E22",4,"11/17/2023 11:30","11/24/2023 11:30",54.05,48.27,"2dome",9.77,7.71,1.94,0.35,NA,NA,NA,NA,NA,"Aragonite","",0,5.77999999999999,0.106938020351526,NA,NA,NA,5.26724545705126,141.970299891682,NA,NA,141.970299891682,61.2096040023198,0.883031362169105
"73","4.2.4.3","T4.2","Pinguitellina","E22",10,"11/17/2023 11:30","11/24/2023 11:30",48.05,43.12,"2dome",9.65,8.05,1.97,0.32,NA,NA,NA,NA,NA,"Aragonite","",0,4.93,0.102601456815817,NA,NA,NA,5.34888351232246,146.407799514878,NA,NA,146.407799514878,64.0996253774927,0.74961436540426
"74","4.2.4.4","T4.2","Pinguitellina","E22",7,"11/17/2023 11:30","11/24/2023 11:30",52.44,47.65,"2dome",10.3,8.29,1.84,0.32,NA,NA,NA,NA,NA,"Aragonite","",0,4.79,0.0913424866514111,NA,NA,NA,5.39597413697491,155.397938132023,NA,NA,155.397938132023,64.9595302067612,0.807271848073524
"75","4.2.4.5","T4.2","Pinguitellina","E22",8,"11/17/2023 11:30","11/24/2023 11:30",118.15,112.19,"2dome",12.23,9.94,2.39,0.45,NA,NA,NA,NA,NA,"Aragonite","",0,5.96000000000001,0.0504443504020314,NA,NA,NA,6.62323626384927,226.845923215554,NA,NA,226.845923215554,121.244182975359,0.974479740805477
"76","4.2.5.1","T4.2","Abranda","E22",10,"11/17/2023 11:30","11/24/2023 11:30",87.23,67.92,"2dome",16.86,11.04,2.05,0.24,NA,NA,NA,NA,NA,"Aragonite","",0,19.31,0.221368795139287,NA,NA,NA,7.25315293699027,318.784318063594,NA,NA,318.784318063594,154.355225204339,0.565125021744633
"77","4.2.5.2","T4.2","Abranda","E22",1,"11/17/2023 11:30","11/24/2023 11:30",152.11,135.93,"2dome",18.56,12.34,2.35,0.25,NA,NA,NA,NA,NA,"Aragonite","",0,16.18,0.106370389849451,NA,NA,NA,8.13430273016534,394.459001903265,NA,NA,394.459001903265,218.154264698433,0.697258887926259
"78","4.2.5.3","T4.2","Abranda","E22",1,"11/17/2023 11:30","11/24/2023 11:30",76.15,67.2,"2dome",15.02,9.7,1.8,0.2,NA,NA,NA,NA,NA,"Aragonite","",0,8.95,0.117531188443861,NA,NA,NA,6.40085600529514,249.213120431318,NA,NA,249.213120431318,106.038648075514,0.718134391394452
"79","4.2.5.4","T4.2","Abranda","E22",5,"11/17/2023 11:30","11/24/2023 11:30",293.07,279.72,"2dome",24.16,15.38,3.28,0.34,NA,NA,NA,NA,NA,"Aragonite","",0,13.35,0.0455522571399323,NA,NA,NA,10.6817490250408,651.27477655627,NA,NA,651.27477655627,497.092278734019,0.589568602325473
"80","4.2.5.5","T4.2","Abranda","E22",6,"11/17/2023 11:30","11/24/2023 11:30",59.18,50.09,"2dome",13.92,9.21,1.88,0.24,NA,NA,NA,NA,NA,"Aragonite","",0,9.09,0.153599188915174,NA,NA,NA,6.22327374594621,223.588405793047,NA,NA,223.588405793047,98.1282664758275,0.603088204096402
