"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"24",1.1,"Aragonite","1.1.1.2",NA,NA,NA,NA,1613.39,1575.12,NA,12.5,4.17,10.57,NA,NA,"Aragonite",NA,"",0,38.2700000000002,0.0237202412311966,NA,NA,NA,8.19798309507104,456.6538,NA,0.083805280937113,550.96125,2.9283184615978,11.7286075220681,3.56733896830965,0.435148368438877,-0.0347415058649465,3,"A","Arago","#FFBF00",2,685.66,5.58148353411315,15978.8459059166,2.85786472119936,1.95302580024528
"25",1.1,"Pecten","1.1.4.5",NA,NA,NA,NA,490.37,468.04,NA,22.15,10.14,0.93,24.456,24.01,"Calcite",0.01,"",0,22.33,0.0455370434569814,NA,NA,NA,5.93332600750965,555.37902,24.233,0.0402067762660534,228.5220366,2.14583244266431,7.88571900535819,9.16989133083012,1.54548921114802,0.208471987213461,3,"P","Pecte","#8000FF",7,685.66,3.25671615669574,15978.8459059166,3.47571422410648,0.936991923590312
"26",1.1,"Anadara","1.1.6.6",NA,NA,NA,NA,410.88,399.19,NA,12.95,8.64,1.92,15.763,13.055,"Mixed",NA,"calcx is x",0,11.69,0.0284511292834891,NA,NA,NA,5.9891002110906,324.88992,14.409,0.0359814179522713,214.82496,1.91262691262691,7.4342700708169,4.56029992963647,0.761433231855382,0.324160101545261,1,"A","Anada","#FF0000",1,685.66,1.70492664002567,15978.8459059166,2.0332502229069,0.838522785251766
"27",1.1,"Calcite","1.1.2.6",NA,NA,NA,NA,421.96,413.07,NA,8.16,7.54,3.01,NA,NA,"Calcite",0.01,"",0,8.88999999999999,0.0210683477106834,NA,NA,NA,5.70001501996658,217.5668,NA,0.0408610137208434,185.194464,2.27846983590179,7.5005036698785,2.32999499334447,0.408769974321601,0.159546353411365,3,"C","Calci","#80FF00",3,685.66,1.29656097774407,15978.8459059166,1.36159270375991,0.952238488179129
"28",1.1,"Saccostrea","1.1.5.6",NA,NA,NA,NA,544.75,524.96,NA,10.75,10.19,2.42,NA,NA,"Calcite",0,"",0,19.79,0.0363285910968333,NA,NA,NA,6.42390837737591,320.4346,NA,0.0617598723733329,265.09285,2.05494037277882,8.16706000234268,4.0320305408747,0.627660032492825,0.241999124758827,3,"S","Sacco","#FF00BF",8,685.66,2.88627016305457,15978.8459059166,2.00536760844129,1.43927235630278
"29",1.1,"Anadara","1.1.6.5",NA,NA,NA,NA,717.44,703.36,NA,13.18,8.26,3.3,16.08,16.306,"Mixed",NA,"calcx is x",0,14.08,0.0196253345227476,NA,NA,NA,7.10891190638096,404.01078,16.193,0.0348505552252839,359.26044,1.9969913748366,8.95217428942259,3.67702936453968,0.517242218354004,0.294349337513571,1,"A","Anada","#FF0000",1,685.66,2.05349590175889,15978.8459059166,2.52841026428826,0.812168788729761
"30",1.1,"Anadara","1.1.6.3",NA,NA,NA,NA,1057.24,1029.65,NA,14.47,13.28,2.74,18.83,17.717,"Mixed",NA,"calcx is x",0,27.5899999999999,0.0260962506148083,NA,NA,NA,8.07493539424391,607.74686,18.2735,0.0453971905342299,526.522784,2.00796628774188,10.187271062641,5.64502153525203,0.69907946746868,0.290471276416297,1,"A","Anada","#FF0000",1,685.66,4.02386022226758,15978.8459059166,3.80344652910736,1.05795104294839
"31",1.1,"Saccostrea","1.1.5.3",NA,NA,NA,NA,635.46,615.51,NA,10.28,11.84,3.95,NA,NA,"Calcite",0,"",0,19.95,0.0313945803040318,NA,NA,NA,7.83394715375076,418.1784,NA,0.0477069116912783,480.77504,1.32174082914121,8.59731302392066,3.44535094874975,0.439797573449315,0.512452663540681,3,"S","Sacco","#FF00BF",8,685.66,2.90960534375638,15978.8459059166,2.61707511582647,1.11177754362528
"32",1.1,"Anadara","1.1.6.2",NA,NA,NA,NA,839.05,818.61,NA,10.94,10.8,2.79,13.277,12.209,"Mixed",NA,"calcx is x",0,20.4399999999999,0.0243608843334723,NA,NA,NA,6.90793793444093,387.14634,12.743,0.0527965729961439,329.64408,2.54532100197279,9.43182962736749,4.01402068851969,0.581073646957216,0.100593285521981,1,"A","Anada","#FF0000",1,685.66,2.98106933465564,15978.8459059166,2.42286797356653,1.2303886828251
"33",1.2,"Anadara","1.2.6.5",NA,NA,NA,NA,1088.8,1066.72,NA,11.39,11.33,4.13,14.068,14.045,"Mixed",NA,"calcx is x",0,22.0799999999999,0.0202792064658339,NA,NA,NA,8.10776642189169,498.001335,14.0565,0.0443372305417613,532.971131,2.04288738483286,10.2876466093309,3.49407785936944,0.430954430302175,0.2781316661368,1,"A","Anada","#FF0000",1,632.63,3.49019173924726,16287.003701304,3.05766084500937,1.14145810021535
